 ,Area,Mean,Min,Max
1,1.608,63814.911,39319,90443
2,1.667,65816.854,39220,99575
3,1.583,82320.775,39325,132788
4,1.785,65175.925,39338,90138
5,1.415,75473.208,39274,116816
6,2.007,66714.360,39666,102308
7,0.886,59180.024,39298,77413
8,1.197,129758.972,39258,222667
9,1.730,84531.704,39195,137543
10,1.659,73613.780,39223,116205
11,1.764,70282.833,39495,107474
12,1.016,58099.884,39246,90042
13,0.647,45198.091,39208,53661
14,1.936,74252.126,39556,116491
15,0.928,53296.041,39229,70374
16,1.587,79209.116,39196,139525
17,1.890,67254.498,39321,106280
18,0.844,60780.109,39308,91782
