 ,Area,Mean,Min,Max
1,1.932,17285.652,12077,24583
2,1.755,23588.459,13195,68392
3,2.595,25284.717,15229,48032
4,1.591,18914.034,13981,30006
5,2.087,16413.650,9057,28908
6,1.251,17883.158,13811,25681
7,1.289,24255.550,13726,56910
8,1.352,24938.398,15448,48165
9,1.436,34087.406,21518,50105
10,2.129,32612.797,19797,54316
11,0.684,52106.822,21279,73647
12,1.478,22837.031,14529,57978
13,2.049,26001.535,15124,45020
14,2.041,48072.150,30203,92400
15,0.634,52539.291,35512,93617
16,1.339,23420.875,15967,38066
17,1.659,37048.873,19763,78378
18,1.062,21971.119,13779,30674
19,1.995,17916.577,13451,32985
20,1.352,17992.714,13164,30664
21,2.427,23317.747,14254,46271
22,1.218,27783.545,15638,54230
23,0.882,17344.543,9527,28800
24,0.752,21420.184,14270,35873
