 ,Area,Mean,Min,Max
1,1.436,12311.137,8237,21111
2,1.176,8894.550,5761,15309
3,0.991,9540.246,6406,21145
4,1.520,12144.362,7619,24896
5,1.188,9934.883,6212,17008
6,1.923,10060.489,7274,15171
7,1.881,24685.714,14298,62458
8,1.839,11945.000,7137,19604
9,2.347,12462.014,6865,24095
10,2.839,14242.373,7438,31140
11,1.705,9623.032,6572,42105
12,1.810,15341.738,7887,40661
13,1.272,7439.069,4422,14744
14,1.335,11204.478,7331,22924
15,2.171,10643.897,7037,23888
16,1.310,8188.699,5812,11420
17,1.457,10631.968,7239,21383
18,1.495,13435.989,5587,25624
19,1.453,11909.211,7335,21568
20,1.692,12669.958,7688,22684
21,1.180,14559.406,8862,29948
22,1.197,12325.007,7406,24163
23,1.407,10358.531,6531,38965
24,1.394,13160.485,8058,24138
