 ,Area,Mean,Min,Max
1,1.440,79929.878,54600,121305
2,1.125,81168.198,54534,117420
3,1.801,92949.988,54403,146970
4,1.369,81578.393,54418,114026
5,1.146,104694.978,55290,170566
6,1.545,92306.427,54438,131991
7,0.890,76099.344,54556,96879
8,2.037,98532.245,54450,152231
9,1.125,93646.668,54471,153857
10,1.214,102305.858,54464,155753
11,2.070,114025.886,54713,206103
12,1.549,78597.374,54418,108317
13,1.281,82482.623,54386,138488
14,1.562,83787.882,54383,120181
15,1.692,91235.603,54461,157821
16,1.562,93683.414,54413,169361
17,1.633,98946.607,54405,141970
18,1.264,109745.555,54365,169106
19,1.558,100856.482,54382,183975
20,1.495,99006.407,54501,168750
21,1.381,90155.620,54497,132029
22,1.944,154639.790,54421,311191
23,2.276,86011.583,54591,134369
