 ,Area,Mean,Min,Max
1,1.360,29455.670,20176,51091
2,1.806,27244.423,20238,42356
3,2.280,27774.906,20114,47787
4,1.184,34855.862,20223,57415
5,2.494,31447.054,20149,49960
6,3.443,43179.941,18020,82047
7,1.226,51246.103,20252,98407
8,2.175,35466.782,20135,50139
9,3.414,40469.919,14465,75908
10,1.633,33096.545,20239,48386
11,4.287,38978.788,19899,61998
12,1.272,41035.416,20196,69803
13,1.377,42753.335,20117,69986
14,0.621,30276.081,20268,50583
15,2.414,36851.748,20114,61792
16,1.184,30524.879,20146,48569
17,0.613,86274.911,20360,206443
18,0.974,31565.185,20185,47677
19,2.100,37710.294,20184,52803
20,1.709,27654.396,20110,48600
21,2.204,32176.490,20160,51817
22,2.448,44860.477,20153,74627
23,1.654,39638.614,20162,90423
24,1.743,33279.053,20192,63774
25,2.561,29744.451,20117,44808
26,3.174,36855.261,20140,93627
27,0.655,25970.705,20150,35042
28,1.793,33158.897,20162,53163
29,2.948,28936.024,20136,50294
30,0.533,23760.591,20125,27336
