 ,Area,Mean,Min,Max
1,1.444,11914.794,7524,21945
2,0.764,11373.725,7750,18281
3,2.003,10246.652,6499,19331
4,2.452,15259.961,10667,25271
5,1.768,14408.055,9749,25821
6,3.111,13273.757,6250,28102
7,2.948,18142.476,10286,35357
8,3.040,20927.704,10420,45591
9,1.142,9776.776,6835,16522
10,2.603,20959.145,7962,38134
11,2.263,17424.998,9659,34695
12,2.037,18017.751,8343,40575
13,2.091,14392.452,8721,31406
14,1.218,8792.824,6300,14379
15,1.570,11138.404,6314,24455
16,0.999,15583.353,9821,18375
17,3.229,19273.117,9906,61003
18,1.138,9958.258,6253,23374
19,2.524,9088.844,6198,18030
20,1.881,15074.761,8499,28106
21,1.415,15606.887,7833,28800
22,1.004,13310.506,7767,22638
23,2.074,11051.287,7053,21071
24,2.301,17075.082,9943,44263
25,2.330,19965.555,10336,37455
26,0.504,12089.983,9329,16775
27,0.542,13786.961,9063,32571
28,1.764,12855.074,8742,19998
