 ,Area,Mean,Min,Max
1,1.394,38774.310,27652,59335
2,1.159,34762.420,27675,49701
3,0.550,39175.496,27690,62932
4,1.797,61202.682,27678,105019
5,2.179,48699.547,27653,70819
6,2.242,56964.803,27746,92650
7,1.167,37446.482,27850,53755
8,1.801,52288.648,27668,78999
9,2.620,56408.554,27687,97438
10,1.995,49256.160,27670,73159
11,1.134,41526.163,27685,62506
12,1.407,39282.540,27728,52379
13,1.289,37479.091,27664,69690
14,1.197,41517.779,27749,56237
15,1.163,44197.437,27764,61471
16,2.372,52348.281,27649,98214
17,1.507,38076.763,26898,63585
18,1.298,44563.265,27704,61804
19,1.155,40227.611,27652,54821
20,1.193,36023.387,27668,49944
21,0.966,41742.139,27697,66134
22,1.461,47596.224,27664,75071
23,1.440,105983.580,27686,208103
