 ,Area,Mean,Min,Max
1,1.394,33305.711,19908,55117
2,1.159,10285.543,6992,16750
3,0.550,24704.008,17830,34890
4,1.797,16175.343,9974,24803
5,2.179,22159.426,11558,50070
6,2.242,22589.476,11404,37257
7,1.167,10402.054,7585,15594
8,1.801,19199.734,12421,39487
9,2.620,32460.667,17285,54902
10,1.995,13543.531,9054,26131
11,1.134,12143.407,7742,20331
12,1.407,13668.893,8301,31023
13,1.289,11931.107,8498,21445
14,1.197,10430.804,7785,14918
15,1.163,13817.274,8572,24346
16,2.372,24844.090,13849,68318
17,1.507,12898.914,8007,25772
18,1.298,10239.987,7053,15691
19,1.155,13706.211,8826,21971
20,1.193,11046.560,8017,16890
21,0.966,9649.743,7876,15459
22,1.461,17882.770,9872,32446
23,1.440,12364.837,7249,30292
