 ,Area,Mean,Min,Max
1,2.482,15986.679,10408,29981
2,2.028,12889.273,9544,27677
3,1.268,14223.705,8578,22979
4,1.298,16123.929,11650,22687
5,1.638,14878.046,10917,24417
6,1.411,23624.988,16206,36095
7,1.373,21689.557,13045,36307
8,0.983,11142.953,8772,18139
9,1.579,23507.511,15304,36710
10,1.428,16607.968,10045,33895
11,1.654,17633.675,11229,34337
12,1.243,19554.973,10451,38658
13,1.415,20990.460,13937,50973
14,1.432,12118.751,8801,22148
15,1.814,18654.220,10871,31509
16,3.028,24403.326,15010,42284
17,1.734,14420.787,10323,26634
18,2.444,23403.326,13394,42490
19,2.188,23160.511,12876,42455
20,2.104,15601.359,10235,23768
