 ,Area,Mean,Min,Max
1,1.046,41330.574,29359,67862
2,0.894,39715.178,29372,52102
3,1.566,52345.895,29405,71454
4,1.860,68278.928,29340,129030
5,2.024,79535.861,29414,167095
6,0.558,36970.278,29345,52008
7,1.373,48349.150,29425,80397
8,1.444,45958.788,29426,66936
9,1.696,53919.495,29398,90168
10,1.176,48375.621,29453,69941
11,1.667,51865.446,28842,92040
12,2.813,61533.158,29328,113190
13,1.512,49728.533,29469,73797
14,1.969,50515.834,29357,90596
15,4.031,53839.860,18704,94926
16,1.701,44961.217,29341,64959
17,0.974,53642.448,29403,105206
18,2.154,58435.066,29441,88509
19,1.172,46559.405,29394,69988
20,2.351,43318.975,29363,70708
21,1.579,37268.561,29349,46980
