 ,Area,Mean,Min,Max
1,1.608,34315.522,13475,135526
2,2.217,20411.888,11225,42706
3,1.902,18218.245,13257,40221
4,1.398,13225.021,7764,21671
5,1.608,14919.258,9548,26700
6,2.414,21248.094,12631,45763
7,2.368,15382.255,10229,25931
8,1.339,16376.069,11052,23821
9,2.087,15714.813,10734,32115
10,2.536,22275.571,9683,60788
11,1.638,21921.910,13508,48600
12,1.415,16067.783,10283,28116
13,1.356,14109.885,10176,19699
14,1.310,19954.365,11034,40190
15,1.621,18554.197,12828,35752
16,1.566,21447.517,12356,46427
17,1.432,14942.270,10769,24980
18,2.435,21872.759,13016,41344
19,1.570,14820.422,11938,21245
20,0.592,14763.468,10025,28788
21,1.726,14380.182,10066,29573
22,1.633,23741.167,17025,38621
23,1.436,20884.541,11563,39137
24,2.402,22240.888,13288,45876
25,2.637,38872.166,22008,92929
26,1.033,12717.008,9685,35704
27,1.268,14635.960,10229,23380
28,1.684,15369.466,11658,32021
29,2.402,19052.316,11701,43750
30,1.314,16211.665,11544,34167
31,1.675,15693.714,10631,34325
32,1.675,16626.180,10337,29172
33,2.318,22399.377,12569,48710
34,1.495,21493.014,13096,39686
35,1.365,15150.520,11797,26788
36,2.267,18456.639,13217,35178
37,1.495,18561.045,12848,33928
38,1.793,21562.977,13136,38121
39,1.608,17066.493,12136,34926
40,1.495,14510.433,9859,26173
41,2.070,16195.077,10101,34170
42,1.709,19443.020,12740,49739
43,2.083,13201.964,10123,20778
44,1.344,17883.647,12307,44400
45,1.705,15102.101,11048,23596
46,1.747,17556.493,11599,29576
47,1.726,23429.411,15213,45092
48,1.159,15384.652,10631,29639
49,1.394,14208.946,11081,20731
50,1.503,19221.304,12926,33246
51,1.348,13577.564,9469,23469
52,1.491,15756.113,10156,27661
53,2.515,23570.414,13404,77740
54,1.449,14769.878,10885,29124
55,1.591,16702.427,11141,30434
56,1.411,19229.679,12826,32895
57,1.537,16728.391,10839,37061
58,1.461,21018.647,14559,39666
59,1.100,17538.973,11611,33184
60,2.566,14055.234,8654,49813
61,0.722,34693.965,23855,51921
62,3.036,43958.047,22011,70300
