 ,Area,Mean,Min,Max
1,1.528,41650.673,30451,53129
2,2.007,61274.544,30431,94287
3,1.167,46273.180,30441,67245
4,1.180,43266.523,29680,60261
5,1.549,58203.954,30504,88759
6,2.259,58467.842,30465,93515
7,1.629,50895.758,30432,80714
8,2.204,59795.076,30457,99696
9,1.163,42172.574,30437,53722
10,1.214,56029.792,30709,83186
11,1.667,59143.788,30564,96322
12,0.957,41162.022,30452,53315
13,1.461,51149.451,30679,80066
14,2.083,61303.413,30438,111035
15,1.172,48939.100,30639,64689
16,1.906,42857.949,30499,82524
17,0.949,50962.416,30646,75649
18,0.932,36411.459,30519,57458
19,2.133,59748.472,30716,102003
20,2.662,59446.509,28628,112669
21,1.352,52199.829,30783,76428
22,1.104,49581.582,30483,73691
23,1.780,45372.802,30455,121592
24,1.780,72208.689,30432,124084
25,1.251,40283.195,30443,83222
26,1.491,40882.882,30453,65009
27,1.146,46601.692,30473,66187
28,1.394,41517.684,30535,68169
29,1.457,44227.519,30604,58954
30,2.104,64313.251,30468,98274
31,1.344,50282.169,30442,70766
32,2.372,76550.864,30453,150616
33,2.091,59959.695,30555,102801
34,1.428,45005.821,30454,66911
35,2.179,68891.096,30496,114472
36,1.268,54825.308,30649,98889
37,1.407,50051.716,30476,86894
38,1.146,44297.355,30574,59572
39,1.243,51047.557,30597,84719
40,1.201,42093.752,30521,63723
41,2.137,66724.303,30468,120162
42,1.806,43905.995,30584,60729
43,1.793,52402.429,30547,82080
44,1.167,41148.683,30445,53966
45,1.734,47605.782,30464,87125
46,1.277,49108.438,30490,81660
47,1.507,46913.036,30599,67829
48,1.722,57018.766,30439,88057
49,2.133,87580.539,30473,171306
50,2.406,61170.049,30700,90688
51,1.184,55152.642,30444,91671
52,1.520,40884.304,30605,53109
53,2.431,69546.634,30452,114827
54,1.390,46055.444,30472,60932
55,1.188,47218.293,30875,65085
56,2.318,64256.428,30478,102125
57,1.415,43014.591,30463,72732
58,1.562,57181.191,30456,88749
59,1.260,50013.817,30958,70147
60,1.201,34630.010,30443,45164
61,2.209,81362.951,30487,144608
62,1.117,50544.538,30727,72362
63,2.209,65845.061,30767,101039
64,2.305,85083.306,30520,169481
65,1.318,49741.070,30484,75639
66,1.381,64784.152,30601,102833
67,1.587,54536.934,30514,78001
68,1.067,35994.189,30435,45677
69,1.176,45328.864,30577,58973
70,1.012,42416.556,30561,56982
71,1.747,52419.168,30524,81879
72,1.033,40376.451,30438,58690
73,1.151,52725.953,30518,77844
74,1.146,38944.747,30550,58445
75,2.213,68801.793,30878,119181
76,0.840,44207.070,30490,71978
77,3.275,50972.638,30516,94804
78,1.864,45097.007,30487,64662
79,1.743,41714.082,30604,80587
