,FITC-A,PE-Tx-Red-YG-A
0,86.5199966431,172.379989624
1,41.1599998474,8.15999984741
2,67.1999969482,316.199981689
3,159.599990845,490.109985352
4,161.279998779,-36.2099990845
5,99.9599990845,114.239997864
6,582.119995117,667.08001709
7,134.399993896,83.1299972534
8,347.759979248,320.790008545
9,47.8799972534,171.869995117
10,595.559997559,651.269958496
11,331.799987793,299.369995117
12,142.800003052,-87.2099990845
13,121.799995422,124.439994812
14,69.7200012207,153.0
15,202.439987183,182.580001831
16,229.319992065,170.339996338
17,79.7999954224,9.68999958038
18,113.399993896,59.6699981689
19,127.679992676,21.4200000763
20,179.759994507,118.829994202
21,49.5599975586,-128.009994507
22,321.720001221,562.020019531
23,314.160003662,515.099975586
24,141.119995117,125.970001221
25,40.3199996948,333.029998779
26,96.5999984741,105.569999695
27,211.679992676,261.630004883
28,236.039993286,435.029998779
29,191.519989014,408.509979248
30,351.959991455,475.319976807
31,211.679992676,281.010009766
32,45.3599967957,4.59000015259
33,78.1199951172,-38.7599983215
34,106.680000305,135.149993896
35,50.3999977112,-1.01999998093
36,231.839996338,165.239990234
37,42.0,60.6899986267
38,175.559997559,166.770004272
39,55.4399986267,-17.3400001526
40,316.679992676,618.630004883
41,54.5999984741,-4.07999992371
42,166.319992065,94.8600006104
43,45.3599967957,300.899993896
44,42.8400001526,144.839996338
45,179.759994507,490.109985352
46,183.119995117,428.399993896
47,172.199996948,489.599975586
48,147.839996338,-87.7200012207
49,94.9199981689,704.820007324
50,1.67999994755,-14.7899999619
51,263.759979248,293.760009766
52,273.0,499.289978027
53,487.199981689,725.219970703
54,58.7999992371,143.309997559
55,161.279998779,162.690002441
56,51.2399978638,170.849990845
57,47.8799972534,291.720001221
58,218.399993896,401.880004883
59,97.439994812,135.149993896
60,270.479980469,315.690002441
61,172.199996948,-5.60999965668
62,1817.7598877,1614.15002441
63,136.919998169,119.339996338
64,105.0,126.479995728
65,20.1599998474,45.8999977112
66,98.2799987793,206.550003052
67,30.2399997711,98.4300003052
68,62.1599998474,329.970001221
69,128.519989014,107.61000061
70,91.5599975586,204.509994507
71,503.159973145,1042.94995117
72,438.479980469,259.589996338
73,84.8399963379,38.25
74,87.3600006104,137.699996948
75,-3.3599998951,523.770019531
76,199.919998169,124.949996948
77,84.0,-120.869995117
78,157.919998169,306.509979248
79,66.3600006104,148.919998169
80,108.359992981,-43.3499984741
81,168.839996338,223.88999939
82,10.0799999237,237.659988403
83,64.6800003052,6.11999988556
84,325.079986572,460.529998779
85,110.879997253,53.5499992371
86,147.0,294.779998779
87,263.759979248,109.650001526
88,90.7199935913,372.809997559
89,64.6800003052,90.2699966431
90,136.919998169,107.61000061
91,90.7199935913,-5.09999990463
92,57.9599990845,113.220001221
93,172.199996948,289.679992676
94,38.6399993896,129.539993286
95,115.079994202,134.63999939
96,325.079986572,189.720001221
97,272.160003662,278.459991455
98,1321.31994629,4518.08984375
99,69.7200012207,277.440002441
100,114.239997864,53.5499992371
101,147.839996338,122.909996033
102,161.279998779,145.86000061
103,67.1999969482,34.1699981689
104,259.559997559,833.33996582
105,106.680000305,188.190002441
106,256.199981689,183.089996338
107,23.5199985504,87.7200012207
108,346.91998291,528.869995117
109,19.3199996948,194.309997559
110,200.759994507,1133.72998047
111,96.5999984741,222.869995117
112,415.799987793,229.5
113,362.039978027,481.949981689
114,197.399993896,357.0
115,77.2799987793,224.399993896
116,105.839996338,148.410003662
117,78.1199951172,16.8299999237
118,286.440002441,225.929992676
119,109.199996948,115.769996643
120,504.839996338,925.139953613
121,235.199996948,229.5
122,86.5199966431,203.489990234
123,189.0,402.389984131
124,52.0799980164,118.319999695
125,68.0400009155,285.089996338
126,89.0400009155,432.989990234
127,215.039993286,175.949996948
128,74.7599945068,18.8699989319
129,128.519989014,320.790008545
130,101.63999939,322.320007324
131,194.039993286,79.0499954224
132,307.440002441,1471.85998535
133,38.6399993896,292.739990234
134,62.9999961853,54.5699996948
135,231.0,54.5699996948
136,105.839996338,127.5
137,274.679992676,355.470001221
138,274.679992676,539.070007324
139,90.7199935913,-74.4599990845
140,178.919998169,351.389984131
141,273.839996338,237.149993896
142,-2.51999998093,57.6299972534
143,374.639984131,423.809997559
144,129.36000061,116.790000916
145,538.440002441,590.070007324
146,9.23999977112,126.989997864
147,210.839996338,95.8799972534
148,319.199981689,-34.1699981689
149,142.800003052,173.910003662
150,105.839996338,104.040000916
151,130.199996948,233.580001831
152,102.479995728,196.86000061
153,78.9599990845,214.199996948
154,284.759979248,506.940002441
155,102.479995728,326.399993896
156,248.63999939,1254.59997559
157,339.359985352,429.41998291
158,34.4399986267,41.8199996948
159,361.199981689,370.259979248
160,189.0,480.41998291
161,125.999992371,162.690002441
162,184.799987793,102.0
163,218.399993896,359.039978027
164,89.8799972534,84.6599960327
165,12.5999994278,9.18000030518
166,229.319992065,62.7299995422
167,51.2399978638,2.54999995232
168,77.2799987793,-18.8699989319
169,144.479995728,86.6999969482
170,56.2799987793,307.529998779
171,996.239990234,799.679992676
172,275.519989014,489.599975586
173,283.91998291,483.479980469
174,69.7200012207,1.52999997139
175,99.9599990845,104.040000916
176,323.399993896,9.18000030518
177,101.63999939,112.199996948
178,51.2399978638,-55.0799980164
179,386.399993896,788.969970703
180,115.079994202,272.339996338
181,918.959960938,837.41998291
182,128.519989014,-6.11999988556
183,428.399993896,488.579986572
184,199.919998169,1051.10998535
185,195.720001221,583.440002441
186,143.63999939,-51.0
187,63.8399963379,189.720001221
188,604.799987793,1000.10998535
189,178.080001831,218.789993286
190,76.439994812,383.009979248
191,65.5199966431,24.9899997711
192,60.4799995422,256.529998779
193,194.039993286,160.649993896
194,138.599990845,-4.59000015259
195,10.0799999237,96.3899993896
196,216.719985962,165.75
197,199.079986572,375.359985352
198,393.119995117,1545.29992676
199,194.879989624,107.61000061
200,75.5999984741,221.849990845
201,223.439987183,307.019989014
202,97.439994812,165.239990234
203,227.63999939,82.6199951172
204,68.0400009155,147.38999939
205,92.3999938965,95.8799972534
206,180.599990845,105.059997559
207,157.919998169,266.220001221
208,170.519989014,-6.63000011444
209,25.1999988556,-46.9199981689
210,292.319976807,477.359985352
211,31.9199981689,282.029998779
212,179.759994507,320.790008545
213,802.199951172,507.959991455
214,105.839996338,-33.6599998474
215,123.479995728,199.919998169
216,87.3600006104,-14.7899999619
217,40.3199996948,270.809997559
218,249.479995728,326.910003662
219,204.959991455,15.2999992371
220,58.7999992371,20.3999996185
221,165.479995728,206.550003052
222,402.359985352,524.279968262
223,177.239990234,32.1300010681
