Cycle Nr.,CitperOD_0,STD_0,CitperOD_3.9,STD_3.9,CitperOD_7.8,STD_7.8,CitperOD_15.6,STD_15.6,CitperOD_31.3,STD_31.3,CitperOD_62.5,STD_62.5,CitperOD_125,STD_125,CitperOD_250,STD_250
1,49.77188077,0.9296526635,48.62236669,1.12348365,49.85459098,1.658410364,49.5049509,0.9860239228,44.15897368,7.025736231,48.21213411,1.175685739,47.22550133,3.019082813,40.89979487,7.101273212
2,98.60312242,1.964662767,97.680097,1.732463469,113.2075476,3.256563054,113.4930661,3.434846442,106.1657838,8.550592272,109.5779194,2.273273664,96.79821495,12.84823446,100.3344498,0.1922181302
3,138.7188908,7.325114846,140.6187203,7.534280333,124.7920126,3.586307976,129.5986644,8.270330681,121.6051866,6.361055029,124.3980732,7.510814858,121.6365634,17.61396467,132.6699793,7.231981973
4,162.0745556,7.679133704,172.2066463,7.614135207,163.4534781,13.7883445,166.9449114,8.881507716,146.8189229,7.768591734,164,25.34504039,134.2281866,20.03795684,146.015855,7.308630018
5,196.4715338,7.929908405,211.7459069,8.246349695,194.1346488,27.00192091,202.7306507,8.844276602,179.8120149,9.800127713,220.5592762,48.38147241,190.2063918,18.77016472,170.8011403,5.522367942
6,230.5246448,18.884452,262.7388478,21.64440152,240.6639037,40.93134563,262.2814343,7.186848045,197.9797961,12.64018523,263.5719864,71.7774796,194.8529413,49.23475495,178.0538319,7.42674165
7,259.2301691,21.59164386,321.0649936,26.07418466,272.1088454,97.82441795,315.4063903,15.41226287,231.4250942,33.46100012,355.7617888,169.9226879,235.7414413,51.78079901,204.9015638,24.62218533
8,327.8688612,41.10469621,429.400383,51.88900984,347.0540759,130.2100275,382.1399745,12.95821225,275.0809091,27.37792715,453.1607055,229.7271277,269.4260066,70.08890369,209.9009921,25.78929858
9,386.6565651,31.94982105,578.0128382,71.33899776,451.0978026,181.4731209,545.0980335,45.11041138,336.9905974,62.9329937,598.8700529,324.8364617,285.8138662,109.365126,236.5677652,34.83184912
10,459.641243,34.52058391,739.227348,107.2942623,537.0443028,252.353215,685.5150921,88.44085452,405.51181,108.3269178,699.4818673,442.1777691,355.761799,120.0373231,240.8702422,26.2841393
11,543.8401907,56.68581062,923.5784311,146.8883356,690.9938035,292.4867598,871.1978719,201.820787,501.1565099,153.2833408,832.7246148,535.4850596,402.7098268,126.2766202,287.8257393,47.76771028
12,645.8635675,44.88424915,1157.259495,109.2179389,811.1152828,330.2582586,1140.416028,307.3538757,636.3285746,273.9389218,952.2111505,583.8268475,465.1162767,137.5569403,320.3661353,60.08237444
13,764.8924807,56.86833154,1415.289264,161.5823773,1050.909097,403.3129061,1340.280298,416.8535941,757.7413548,378.4614052,1147.484513,761.7916304,502.344268,204.7104967,379.601232,64.32165262
14,952.0547842,100.7278952,1723.555286,229.1116208,1403.508788,604.126867,1677.17083,622.7977377,947.9015924,505.4154114,1432.414268,861.8676305,699.4818673,220.9267575,477.9686274,89.61966575
15,1042.944794,89.37962546,1981.132056,273.0302912,1640.813508,884.2674301,1929.524456,702.3562116,1008.553086,542.7359851,1610.27975,930.8286893,679.7116404,254.3756958,478.6641889,63.87898613
