"GOsample" "total" "up" "dwn"
"1" "firstrow" 0 0 0
"2" "his4_postv3AT" 46600 103 236
"3" "aabiosynthesis_handcurhis4_postv3AT" 0 0 0
"4" "pgk1_postv3AT" 46216 15 44
"5" "aabiosynthesis_handcurpgk1_postv3AT" 0 0 0
"6" "his4_pooled" 50488 378 1069
"7" "aabiosynthesis_handcurhis4_pooled" 0 0 0
"8" "pgk1_pooled" 50185 60 479
"9" "aabiosynthesis_handcurpgk1_pooled" 0 0 0
"10" "HTS1" 49331 102 782
"11" "aabiosynthesis_handcurHTS1" 0 0 0
"12" "RPC31" 49830 72 650
"13" "aabiosynthesis_handcurRPC31" 0 0 0
"14" "cds" 48996 98 328
"15" "aabiosynthesis_handcurcds" 0 0 0
"16" "utr" 41963 393 755
"17" "aabiosynthesis_handcurutr" 0 0 0
"19" "polIIIsubunit_handcurhis4_postv3AT" 0 0 0
"21" "polIIIsubunit_handcurpgk1_postv3AT" 0 0 0
"23" "polIIIsubunit_handcurhis4_pooled" 0 0 0
"25" "polIIIsubunit_handcurpgk1_pooled" 0 0 0
"27" "polIIIsubunit_handcurHTS1" 0 0 0
"29" "polIIIsubunit_handcurRPC31" 0 0 0
"31" "polIIIsubunit_handcurcds" 0 0 0
"33" "polIIIsubunit_handcurutr" 0 0 0
"35" "transcription_handcurhis4_postv3AT" 0 0 0
"37" "transcription_handcurpgk1_postv3AT" 0 0 0
"39" "transcription_handcurhis4_pooled" 0 0 0
"41" "transcription_handcurpgk1_pooled" 0 0 0
"43" "transcription_handcurHTS1" 0 0 0
"45" "transcription_handcurRPC31" 0 0 0
"47" "transcription_handcurcds" 0 0 0
"49" "transcription_handcurutr" 0 0 0
"51" "translationcontrol_handcurhis4_postv3AT" 0 0 0
"53" "translationcontrol_handcurpgk1_postv3AT" 0 0 0
"55" "translationcontrol_handcurhis4_pooled" 0 0 0
"57" "translationcontrol_handcurpgk1_pooled" 0 0 0
"59" "translationcontrol_handcurHTS1" 0 0 0
"61" "translationcontrol_handcurRPC31" 0 0 0
"63" "translationcontrol_handcurcds" 0 0 0
"65" "translationcontrol_handcurutr" 0 0 0
"67" "tRNAaasynthetase_handcurhis4_postv3AT" 0 0 0
"69" "tRNAaasynthetase_handcurpgk1_postv3AT" 0 0 0
"71" "tRNAaasynthetase_handcurhis4_pooled" 0 0 0
"73" "tRNAaasynthetase_handcurpgk1_pooled" 0 0 0
"75" "tRNAaasynthetase_handcurHTS1" 0 0 0
"77" "tRNAaasynthetase_handcurRPC31" 0 0 0
"79" "tRNAaasynthetase_handcurcds" 0 0 0
"81" "tRNAaasynthetase_handcurutr" 0 0 0
"83" "tRNAprocessing_handcurhis4_postv3AT" 0 0 0
"85" "tRNAprocessing_handcurpgk1_postv3AT" 0 0 0
"87" "tRNAprocessing_handcurhis4_pooled" 0 0 0
"89" "tRNAprocessing_handcurpgk1_pooled" 0 0 0
"91" "tRNAprocessing_handcurHTS1" 0 0 0
"93" "tRNAprocessing_handcurRPC31" 0 0 0
"95" "tRNAprocessing_handcurcds" 0 0 0
"97" "tRNAprocessing_handcurutr" 0 0 0
