 ,Area,Mean,Min,Max,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
1,3.090,41218.609,25831,68613,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
2,1.289,37189.954,25874,55299,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
3,2.347,44646.658,25876,71679,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
4,2.225,45191.136,25831,91489,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
5,1.776,41452.515,24948,76742,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
6,2.204,38759.050,25832,56808,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
7,2.125,38074.654,25956,67517,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
8,2.100,48565.704,25997,80659,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
9,0.886,45463.071,25913,66255,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
10,2.629,61736.559,25908,128066,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
11,1.193,39368.496,25837,61292,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
12,2.293,44758.469,25847,68007,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
13,1.709,39359.688,25990,60094,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
14,1.906,43938.544,25818,76071,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
15,2.860,50816.799,25875,96023,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
16,1.335,44340.931,25877,73692,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
17,1.457,44179.625,26006,72771,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
18,4.010,42006.173,25828,75972,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
19,1.507,47517.309,25832,76978,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
20,1.390,42526.810,25992,61812,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
21,2.826,52077.909,25818,92711,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
22,1.621,39486.117,25964,57671,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
23,2.221,53518.206,25866,88956,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
24,1.608,50556.342,25903,91512,SUM_Nup133_TET_01_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
1,1.176,52422.450,29095,101661,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
2,1.713,44521.748,28963,67608,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
3,1.226,50710.455,28942,83367,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
4,2.662,54035.290,28973,81587,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
5,1.663,51859.048,28957,80562,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
6,2.087,58480.614,28948,113088,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
7,1.310,54091.285,29077,87439,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
8,1.440,45053.128,29091,69806,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
9,2.070,77853.002,29190,140864,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
10,1.533,44683.868,28980,63731,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
11,1.579,40283.165,28995,57070,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
12,2.645,54016.643,28960,88022,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
13,1.688,65708.826,28945,107231,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
14,1.390,48993.949,29008,68931,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
15,2.053,47346.184,28953,71193,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
16,1.772,43863.441,28997,68471,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
17,3.032,53539.629,28958,104002,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
18,2.511,43207.993,28961,81192,SUM_Nup133_TET_02_R3D_D3D.tifnuclei.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
1,1.932,48518.783,28430,77256,SUM_Nup133_TET_03_R3D_D3D.tifnuclei.csv
