 ,Area,Mean,Min,Max,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
1,3.090,10535.420,6109,20843,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
2,1.289,12836.909,9321,22227,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
3,2.347,10707.014,7502,15655,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
4,2.225,13088.715,8570,31974,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
5,1.776,11519.655,7923,28305,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
6,2.204,16533.846,11417,26718,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
7,2.125,12476.970,8591,22953,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
8,2.100,10872.774,7476,18251,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
9,0.886,8173.403,6132,11968,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
10,2.629,12019.649,8170,19845,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
11,1.193,9598.722,7594,16545,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
12,2.293,13287.368,8601,25161,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
13,1.709,26669.263,14458,53022,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
14,1.906,15067.438,10074,42878,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
15,2.860,14593.305,9118,29729,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
16,1.335,13579.330,10334,20014,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
17,1.457,10068.695,7499,14982,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
18,4.010,15895.427,8032,30119,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
19,1.507,13457.905,9972,20005,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
20,1.390,15328.314,10909,31567,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
21,2.826,19471.562,11757,48667,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
22,1.621,13572.782,9275,30369,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
23,2.221,11822.798,8254,21585,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
24,1.608,12368.804,9205,24839,SUM_Nup133_TET_01_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
1,1.176,3640.571,2879,5143,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
2,1.713,5204.154,3304,13321,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
3,1.226,3317.000,2368,5077,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
4,2.662,4059.757,2933,7803,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
5,1.663,4800.101,3324,10720,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
6,2.087,4472.889,2875,7531,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
7,1.310,5258.298,2842,12101,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
8,1.440,3493.350,2469,5279,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
9,2.070,7908.039,4764,13148,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
10,1.533,3771.208,2685,6419,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
11,1.579,4703.375,3125,10984,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
12,2.645,4805.919,3423,9902,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
13,1.688,7185.530,3922,17195,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
14,1.390,6267.480,3641,13922,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
15,2.053,5909.372,3984,9964,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
16,1.772,3827.960,2720,6347,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
17,3.032,4893.799,2792,12325,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
18,2.511,3903.470,2621,7348,SUM_Nup133_TET_02_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
1,1.932,5285.076,3428,10739,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
2,1.193,4693.866,3145,8668,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
3,1.486,4612.890,3266,7589,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
4,1.587,3678.497,2588,5898,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
5,1.335,3738.818,2733,5790,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
6,0.617,5466.735,3792,7334,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
7,1.549,4839.986,3407,9132,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
8,1.407,4917.513,3576,8665,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
9,2.121,5020.604,3655,9311,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
10,1.386,4388.373,2859,6557,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
11,1.873,4663.574,3425,7079,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
12,1.491,5286.389,3247,9070,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
13,1.356,4203.721,3241,7173,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
14,1.117,4283.338,2691,7939,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
15,2.566,9013.740,5424,19958,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
16,1.394,4389.244,3376,6431,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
17,1.869,5699.294,3945,13309,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
18,1.390,5011.785,3403,9418,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
19,1.394,4850.337,3343,11758,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
20,1.524,5491.080,3804,8908,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
21,2.024,8176.911,5497,14738,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
22,1.671,4943.090,2826,8760,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
23,0.857,4967.093,3320,7816,SUM_Nup133_TET_03_R3D_D3D.tifnuclei_GCN4.csv
 ,Area,Mean,Min,Max,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
1,1.608,6349.149,4564,13071,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
2,1.667,4108.219,3124,5515,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
3,1.583,7404.286,4981,10838,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
4,1.785,4416.776,3331,6555,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
5,1.415,5485.647,4182,13463,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
6,2.007,7267.611,4461,11911,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
7,0.886,5112.621,3666,8843,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
8,1.197,5887.905,4150,9073,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
9,1.730,5892.350,4606,9040,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
10,1.659,5948.661,3634,10170,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
11,1.764,5680.164,4240,9013,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
12,1.016,5481.215,3822,12103,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
13,0.647,4550.351,3583,6491,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
14,1.936,11297.349,6959,21720,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
15,0.928,4581.036,3640,5934,SUM_Nup133_TET_04_R3D_D3D.tifnuclei_GCN4.csv
