Cycle Nr.,CitperOD_0,STD_0,CitperOD_3.9,STD_3.9,CitperOD_7.8,STD_7.8,CitperOD_15.6,STD_15.6,CitperOD_31.3,STD_31.3,CitperOD_62.5,STD_62.5,CitperOD_125,STD_125,CitperOD_250,STD_250
1,36.96098536,1.008350884,39.60396077,7.562771627,40.45307487,7.654858906,38.18413296,0.467007947,37.60969414,0.1655833833,37.9106988,0.4726426835,40.05340385,0.2977419731,44.05286236,7.667035342
2,88.67392265,8.195581947,90.26687623,9.325558029,94.97427742,6.235401281,106.8376046,7.43354184,104.6901154,7.257912053,104.166669,7.218053093,104.5296145,0.8002906892,314.1592871,360.2116078
3,131.9472202,5.119678423,127.5608822,7.780273346,138.4615396,9.596888681,129.8701326,7.33711685,127.3623704,7.240226761,118.9499593,7.10790946,125.1618455,7.493532161,338.1642586,346.1791957
4,158.7301609,9.383754835,170.003776,25.57182066,183.2061055,19.44119607,174.1293532,21.69371854,165.589658,18.83388845,150.4065045,7.069469317,156.4537169,0.8891405533,332.8953165,314.9337071
5,200.2355673,7.565563265,237.3007061,75.18460409,258.6843993,41.19690587,218.0936959,52.91704631,215.0537666,52.45152179,201.6942302,14.12713948,196.6652389,7.500424484,341.4001647,243.3697521
6,238.2812526,20.43180457,363.3772639,149.2085451,411.0091842,79.54655372,276.6639966,94.30988739,275.9164334,90.22687339,233.0253079,30.43708241,224.0413591,7.542622935,356.0573138,233.55468
7,272.8670318,26.12599682,546.3917505,234.0247026,572.7923573,112.6946096,351.7587862,158.865985,325.7076391,121.723257,276.1341227,58.51526074,239.5704251,7.270362882,377.1186418,214.3810953
8,329.7953055,23.0178274,694.7227748,307.2929086,835.8308507,165.888982,437.2623632,234.72163,447.9878582,284.3097779,337.0786478,111.19631,277.6626586,14.36152768,380.3888353,191.9274907
9,400.2965161,42.80939173,924.5585714,405.8331652,1062.259308,224.6750238,598.6044858,326.6940622,534.4637022,305.6217455,391.7839448,125.5803277,304.0262941,31.11163594,378.6933005,187.067755
10,455.373398,64.17023676,1206.092636,576.8811626,1352.087111,300.3803007,679.2992405,430.7058656,563.7875006,369.0954568,390.0975166,160.4037526,299.2317036,18.58132244,371.1340211,158.0056716
11,503.5461032,65.19908521,1555.555536,670.7397707,1681.858251,388.4057573,804.9535713,554.765465,669.2361523,471.4716894,449.8525177,176.8605804,347.1668063,31.73383926,406.1738379,146.5107575
12,638.2978713,149.7414248,1896.400337,640.7110371,1841.662015,396.3364238,944.8553972,662.4715991,708.1765291,451.6197861,462.1542897,167.6746861,349.4307061,29.67918965,383.0645109,147.8659288
13,747.8772101,194.3348712,2134.958919,1013.164943,2119.65348,487.0472331,1117.932171,861.5886151,776.2557154,555.7666782,506.0658648,185.2004884,375.7115784,41.44325508,387.6582351,130.8069431
14,893.0741,382.8838679,2452.931697,1130.569241,2534.456299,620.3429122,1271.212608,995.1854876,846.2267022,583.5883526,553.0591183,195.4113141,418.091983,40.05564362,423.3633796,112.2574075
15,1029.082785,505.6996843,2653.64581,1073.575542,2850.898515,611.4009338,1388.312077,1162.214177,928.764655,671.5978068,587.0646765,208.9370719,447.6507446,46.41843437,462.4277379,142.2300744
16,1139.638477,489.3224167,3242.245266,1318.365464,3217.945818,729.1107035,1598.173478,1407.729239,1027.33814,824.2495997,678.0205648,293.0020152,478.4342173,39.24752509,476.5506846,128.0579611
17,1575.846845,722.7645623,3286.87572,1419.267647,3401.287622,640.7716082,1745.406803,1196.542259,1075.122488,814.6217147,707.9101234,351.52903,482.3943631,63.82442069,460.6240634,90.33594006
18,2210.4581,872.8309235,3549.228351,1827.614256,3614.627244,463.0095536,1911.909402,1109.698021,1101.389606,654.8121377,668.5714542,227.1585427,476.1904873,28.33680004,485.6832206,131.7302368
19,3535.486389,1115.311319,4078.064672,1539.349944,4177.073688,540.5140274,2476.535871,841.0085691,1487.084005,564.251197,992.6276812,266.4727225,555.3782341,67.45391125,561.1711421,153.6073437
