"sgdid"	"type"	"qual"	"name"	"gene"	"alias"	"parent"	"sgdid2"	"chrom"	"start"	"end"	"strand"	"genpos"	"cver"	"sver"	"desc"
"394"	"S000003727"	"ORF"	"Verified"	"YJL191W"	"RPS14B"	"uS11|ribosomal 40S subunit protein S14B|S11|rp59B|S14B|CRY2"	"chromosome 10"	"L000000424"	"10"	73787	74611	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14B has a paralog, RPS14A, that arose from the whole genome duplication"
"398"	"S000003726"	"ORF"	"Verified"	"YJL190C"	"RPS22A"	"uS8|ribosomal 40S subunit protein S22A|S8|rp50|YS22|S24A|S22A|RPS24"	"chromosome 10"	"L000003150|L000001760"	"10"	75302	74910	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S15A and bacterial S8; RPS22A has a paralog, RPS22B, that arose from the whole genome duplication"
"426"	"S000003713"	"ORF"	"Verified"	"YJL177W"	"RPL17B"	"uL22|ribosomal 60S subunit protein L17B|L22|YL17|L20B|L17B"	"chromosome 10"	"L000004457"	"10"	90786	91657	"W"	NA	"2011-02-03"	"1996-07-31"	"Ribosomal 60S subunit protein L17B; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17B has a paralog, RPL17A, that arose from the whole genome duplication"
"524"	"S000003672"	"ORF"	"Verified"	"YJL136C"	"RPS21B"	"eS21|ribosomal 40S subunit protein S21B|S21e|YS25|S26B|S21B"	"chromosome 10"	"L000003031"	"10"	157273	156550	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21B has a paralog, RPS21A, that arose from the whole genome duplication"
"1186"	"S000003884"	"ORF"	"Verified"	"YJR123W"	"RPS5"	"uS7|ribosomal 40S subunit protein S5|S7|rp14|YS8|S5|S2"	"chromosome 10"	"L000002821"	"10"	651901	652578	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein component of the small (40S) ribosomal subunit; least basic of non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; homologous to mammalian ribosomal protein S5 and bacterial S7"
"1238"	"S000003906"	"ORF"	"Verified"	"YJR145C"	"RPS4A"	"eS4|ribosomal 40S subunit protein S4A|S4e|rp5|YS6|S7A|S4A"	"chromosome 10"	"L000001751"	"10"	703068	702027	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication"
"1398"	"S000001663"	"ORF"	"Verified"	"YKL180W"	"RPL17A"	"uL22|ribosomal 60S subunit protein L17A|L22|YL17|L20A|L17A|RPL17"	"chromosome 11"	"L000001715"	"11"	109269	110129	"W"	NA	"2011-02-03"	"1996-07-31"	"Ribosomal 60S subunit protein L17A; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog, RPL17B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
"1824"	"S000001489"	"ORF"	"Verified"	"YKL006W"	"RPL14A"	"eL14|ribosomal 60S subunit protein L14A|L14e|L14A"	"chromosome 11"	"L000002706"	"11"	431906	432720	"W"	NA	"2011-02-03"	"1996-07-31"	"Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14A has a paralog, RPL14B, that arose from the whole genome duplication"
"1980"	"S000001765"	"ORF"	"Verified"	"YKR057W"	"RPS21A"	"eS21|ribosomal 40S subunit protein S21A|S21e|YS25|S26A|S21A|RPS25"	"chromosome 11"	"L000001761"	"11"	551657	552242	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21A has a paralog, RPS21B, that arose from the whole genome duplication"
"2172"	"S000003968"	"ORF"	"Verified"	"YLL045C"	"RPL8B"	"eL8|ribosomal 60S subunit protein L8B|L8e|rp6|YL5|L8B|L4B|SCL41|KRB1"	"chromosome 12"	"L000000911|L000001705"	"12"	48629	47859	"C"	NA	"2011-02-03"	"1996-07-31"	"Ribosomal 60S subunit protein L8B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication"
