TargetLoc	score	response
chrXII:458728-458751(-)	NA	NA
chrXII:458617-458640(+)	NA	NA
chrXII:458609-458632(+)	NA	NA
chrXII:458527-458550(-)	NA	NA
chrXII:458618-458641(+)	NA	NA
chrXII:458649-458672(+)	NA	NA
chrXII:458655-458678(+)	NA	NA
chrXII:458661-458684(+)	NA	NA
chrXII:458670-458693(+)	NA	NA
chrXII:458680-458703(+)	NA	NA
chrXII:452063-452086(+)	NA	NA
chrXII:451966-451989(+)	NA	NA
chrXII:451911-451934(+)	NA	NA
chrXII:451810-451833(+)	NA	NA
chrXII:451781-451804(+)	NA	NA
chrXII:451948-451971(+)	NA	NA
chrXII:451998-452021(+)	NA	NA
chrXII:452027-452050(+)	NA	NA
chrXII:452042-452065(+)	NA	NA
chrXII:452067-452090(+)	NA	NA
chrI:98945-98968(+)	NA	NA
chrI:99032-99055(+)	NA	NA
chrI:99120-99143(+)	-1.37558965158435	0.201718255144367
chrI:99232-99255(-)	-0.0490174690021518	0.487748085803276
chrI:98957-98980(+)	NA	NA
chrI:98971-98994(+)	NA	NA
chrI:99007-99030(+)	NA	NA
chrI:99018-99041(+)	NA	NA
chrI:99040-99063(+)	NA	NA
chrI:99058-99081(+)	-1.52605157564062	0.178572122071537
chrIX:397346-397369(-)	NA	NA
chrIX:397326-397349(-)	NA	NA
chrIX:397259-397282(+)	-0.790237005479409	0.312117782010493
chrIX:397299-397322(-)	-2.12133944100797	0.107039976071153
chrIX:397325-397348(-)	NA	NA
chrIX:397307-397330(+)	-3.66536798323625	0.0249560082903205
chrIX:397388-397411(-)	NA	NA
chrIX:397371-397394(+)	NA	NA
chrIX:397403-397426(+)	NA	NA
chrXII:456210-456233(+)	NA	NA
chrXII:456130-456153(+)	NA	NA
chrXII:456036-456059(+)	NA	NA
chrXII:456005-456028(+)	NA	NA
chrXII:455927-455950(+)	NA	NA
chrXII:455938-455961(+)	NA	NA
chrXII:456058-456081(+)	NA	NA
chrXII:456070-456093(+)	NA	NA
chrXII:456071-456094(+)	NA	NA
