"sgdid"	"type"	"qual"	"name"	"gene"	"alias"	"parent"	"sgdid2"	"chrom"	"start"	"end"	"strand"	"genpos"	"cver"	"sver"	"desc"
"965"	"S000003792"	"ORF"	"Verified"	"YJR031C"	"GEA1"	"Arf family guanine nucleotide exchange factor GEA1"	"chromosome 10"	"L000004312"	"10"	490812	486586	"C"	NA	"2011-02-03"	"1996-07-31"	"Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA1 has a paralog, GEA2, that arose from the whole genome duplication"
"1055"	"S000003826"	"ORF"	"Verified"	"YJR065C"	"ARP3"	"actin-related protein 3|ACT4"	"chromosome 10"	"L000003198"	"10"	559158	557809	"C"	NA	"2011-02-03"	"1996-07-31"	"Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity"
"1804"	"S000001496"	"ORF"	"Verified"	"YKL013C"	"ARC19"	""	"chromosome 11"	"L000004034"	"11"	418023	417508	"C"	NA	"2011-02-03"	"1996-07-31"	"Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; mutation is functionally complemented by human ARPC4"
"1816"	"S000001490"	"ORF"	"Verified"	"YKL007W"	"CAP1"	""	"chromosome 11"	"L000000214"	"11"	429302	430108	"W"	-2	"2011-02-03"	"1996-07-31"	"Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress"
"2158"	"S000003973"	"ORF"	"Verified"	"YLL050C"	"COF1"	"cofilin"	"chromosome 12"	"L000000377"	"12"	40414	39804	"C"	NA	"2011-02-03"	"1996-07-31"	"Cofilin, involved in pH-dependent actin filament depolarization; binds both actin monomers and filaments and severs filaments; involved in the selective sorting, export of the secretory cargo from the late golgi; genetically interacts with pmr1; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes"
"2474"	"S000004075"	"ORF"	"Verified"	"YLR085C"	"ARP6"	""	"chromosome 12"	"L000003435"	"12"	301989	300673	"C"	NA	"2011-02-03"	"1996-07-31"	"Actin-related protein that binds nucleosomes; a component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A"
"2615"	"S000004134"	"ORF"	"Verified"	"YLR144C"	"ACF2"	"PCA1|ENG2"	"chromosome 12"	"L000004011"	"12"	432016	429677	"C"	NA	"2011-02-03"	"1996-07-31"	"Intracellular beta-1,3-endoglucanase; expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly; protein abundance increases in response to DNA replication stress"
"3311"	"S000004362"	"ORF"	"Verified"	"YLR370C"	"ARC18"	""	"chromosome 12"	"L000004033"	"12"	862254	861718	"C"	NA	"2011-02-03"	"1996-07-31"	"Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches"
"4052"	"S000004636"	"ORF"	"Verified"	"YMR033W"	"ARP9"	"RSC12|SWP59"	"chromosome 13"	"L000003438"	"13"	337788	339277	"W"	NA	"2011-02-03"	"1996-07-31"	"Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation"
"5626"	"S000004965"	"ORF"	"Verified"	"YNL020C"	"ARK1"	"serine/threonine protein kinase ARK1"	"chromosome 14"	"L000004430"	"14"	597539	595623	"C"	NA	"2011-02-03"	"1997-01-28"	"Serine/threonine protein kinase; involved in regulation of the cortical actin cytoskeleton; involved in control of endocytosis; ARK1 has a paralog, PRK1, that arose from the whole genome duplication"
"5765"	"S000005318"	"ORF"	"Verified"	"YNR035C"	"ARC35"	"END9"	"chromosome 14"	"L000004558|L000004035"	"14"	694047	693019	"C"	NA	"2011-02-03"	"1997-01-28"	"Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin"
"6633"	"S000005667"	"ORF"	"Verified"	"YOR141C"	"ARP8"	""	"chromosome 15"	"L000003437"	"15"	592587	589942	"C"	NA	"2011-02-03"	"1996-07-31"	"Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes; has mRNA binding activity"
"7104"	"S000005856"	"ORF"	"Verified"	"YOR329C"	"SCD5"	"SCD7|FTB1"	"chromosome 15"	"L000001805|S000029433|L000001807"	"15"	939349	936731	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein required for normal actin organization and endocytosis; targeting subunit for protein phosphatase type 1; undergoes Crm1p-dependent nuclear-cytoplasmic shuttling; multicopy suppressor of clathrin deficiency"
"9648"	"S000000438"	"ORF"	"Verified"	"YBR234C"	"ARC40"	""	"chromosome 2"	"L000004788"	"2"	686592	685438	"C"	NA	"2011-02-03"	"1997-01-28"	"Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches"
