"sgdid" "type" "qual" "name" "gene" "alias" "parent" "sgdid2" "chrom" "start" "end" "strand" "genpos" "cver" "sver" "desc"
"1359" "S000001677" "ORF" "Verified" "YKL194C" "MST1" "threonine--tRNA ligase MST1" "chromosome 11" "L000001207" "11" 78646 77258 "C" NA "2011-02-03" "1996-07-31" "Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr"
"2235" "S000003941" "ORF" "Verified" "YLL018C" "DPS1" "aspartate--tRNA ligase DPS1|AspRS" "chromosome 12" "L000002834" "12" 111575 109902 "C" NA "2011-02-03" "1996-07-31" "Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation; shares five highly conserved amino acids with human that when mutated cause leukoencephalopathy characterized by hypomyelination with brain stem and spinal cord involvement and leg spasticity (HBSL)"
"2418" "S000004050" "ORF" "Verified" "YLR060W" "FRS1" "phenylalanine--tRNA ligase subunit beta" "chromosome 12" "L000000629" "12" 260979 262766 "W" NA "2011-02-03" "1996-07-31" "Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control"
"3339" "S000004374" "ORF" "Verified" "YLR382C" "NAM2" "leucine--tRNA ligase NAM2|LeuRS|MSL1" "chromosome 12" "L000001229" "12" 884751 882067 "C" 325 "2004-02-05" "1996-07-31" "Mitochondrial leucyl-tRNA synthetase; also has direct role in splicing of several mitochondrial group I introns; indirectly required for mitochondrial genome maintenance; human homolog LARS2 can complement yeast null mutant, and is implicated in Perrault syndrome"
"5067" "S000005191" "ORF" "Verified" "YNL247W" "" "cysteine--tRNA ligase" "chromosome 14" "" "14" 182875 185178 "W" NA "2011-02-03" "1996-07-31" "Cysteinyl-tRNA synthetase; may interact with ribosomes, based on co-purification experiments; human gene CARS allows growth of the yeast haploid null mutant after sporulation of a heterozygous diploid"
"5465" "S000005017" "ORF" "Verified" "YNL073W" "MSK1" "lysine--tRNA ligase MSK1" "chromosome 14" "L000001195" "14" 488386 490116 "W" NA "2011-02-03" "1996-07-31" "Mitochondrial lysine-tRNA synthetase; required for import of both aminoacylated and deacylated forms of tRNA(Lys) into mitochondria and for aminoacylation of mitochondrially encoded tRNA(Lys)"
"6054" "S000005457" "ORF" "Verified" "YOL097C" "WRS1" "tryptophan--tRNA ligase WRS1|HRE342" "chromosome 15" "L000003253" "15" 137825 136527 "C" NA "2006-01-05" "1996-07-31" "Cytoplasmic tryptophanyl-tRNA synthetase; aminoacylates tryptophanyl-tRNA; human homolog WARS can complement yeast null mutant"
"6209" "S000005393" "ORF" "Verified" "YOL033W" "MSE1" "glutamate--tRNA ligase MSE1" "chromosome 15" "L000002617" "15" 263475 265085 "W" NA "2011-02-03" "1996-07-31" "Mitochondrial glutamyl-tRNA synthetase; predicted to be palmitoylated"
"6707" "S000005694" "ORF" "Verified" "YOR168W" "GLN4" "glutamine--tRNA ligase" "chromosome 15" "L000000711" "15" 649303 651732 "W" 88 "2011-02-03" "1996-07-31" "Glutamine tRNA synthetase; monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Gln); N-terminal domain proposed to be involved in enzyme-tRNA interactions"
"7118" "S000005862" "ORF" "Verified" "YOR335C" "ALA1" "alanine--tRNA ligase|CDC64" "chromosome 15" "L000000286|L000002757" "15" 949109 946233 "C" 188 "2011-02-03" "1996-07-31" "Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog AARS; mutations in human homolog AARS are associated with autoimmune disease polymyositis/dermatomyositis"
"7583" "S000006081" "ORF" "Verified" "YPL160W" "CDC60" "leucine--tRNA ligase CDC60|LeuRS" "chromosome 16" "L000000283" "16" 246990 250262 "W" -65 "2011-02-03" "1996-07-31" "Cytosolic leucyl tRNA synthetase; ligates leucine to the appropriate tRNA; human homolog LARS can complement yeast temperature-sensitive mutant at restrictive temperature"
"7717" "S000006025" "ORF" "Verified" "YPL104W" "MSD1" "aspartate--tRNA ligase MSD1|LPG5" "chromosome 16" "L000001186" "16" 355700 357676 "W" NA "2011-02-03" "1996-07-31" "Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"
"7731" "S000006018" "ORF" "Verified" "YPL097W" "MSY1" "tyrosine--tRNA ligase MSY1" "chromosome 16" "L000002838" "16" 364952 366430 "W" NA "2011-02-03" "1996-07-31" "Mitochondrial tyrosyl-tRNA synthetase"
"7875" "S000005961" "ORF" "Verified" "YPL040C" "ISM1" "isoleucine--tRNA ligase ISM1" "chromosome 16" "L000002648" "16" 479001 475993 "C" NA "2011-02-03" "1996-07-31" "Mitochondrial isoleucyl-tRNA synthetase; null mutant is deficient in respiratory growth; human homolog IARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant"
"8058" "S000006237" "ORF" "Verified" "YPR033C" "HTS1" "TS4572|histidine--tRNA ligase|TSM4572" "chromosome 16" "L000000832|S000029607|L000002364" "16" 639019 637379 "C" 26 "2011-02-03" "1996-07-31" "Cytoplasmic and mitochondrial histidine tRNA synthetase; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence; mutations in human ortholog HARS2 are associated with Perrault syndrome"
