"sgdid" "type" "qual" "name" "gene" "alias" "parent" "sgdid2" "chrom" "start" "end" "strand" "genpos" "cver" "sver" "desc"
"89" "S000000036" "ORF" "Verified" "YAL038W" "CDC19" "pyruvate kinase CDC19|PYK1" "chromosome 1" "L000000258" "1" 71786 73288 "W" -45 "2011-02-03" "1996-07-31" "Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
"9538" "S000000400" "ORF" "Verified" "YBR196C" "PGI1" "glucose-6-phosphate isomerase|CDC30" "chromosome 2" "L000001410|L000001409" "2" 613900 612236 "C" 89 "2011-02-03" "1997-01-28" "Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation"
"9610" "S000000425" "ORF" "Verified" "YBR221C" "PDB1" "pyruvate dehydrogenase (acetyl-transferring) subunit E1 beta" "chromosome 2" "L000001353" "2" 666253 665153 "C" NA "2011-02-03" "1997-01-28" "E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria"
"9906" "S000000545" "ORF" "Verified" "YCL040W" "GLK1" "glucokinase|HOR3" "chromosome 3" "L000000708" "3" 50838 52340 "W" -47 "2000-09-13" "1997-01-28" "Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication"
"10050" "S000000605" "ORF" "Verified" "YCR012W" "PGK1" "phosphoglycerate kinase" "chromosome 3" "L000001411" "3" 137746 138996 "W" 2 "2011-02-03" "2000-09-13|1997-01-28" "3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis"
"13100" "S000000980" "ORF" "Verified" "YER178W" "PDA1" "pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha" "chromosome 5" "L000001352" "5" 546817 548079 "W" 143 "2011-02-03" "2003-09-22|1996-07-31" "E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"
"15643" "S000001217" "ORF" "Verified" "YHR174W" "ENO2" "phosphopyruvate hydratase ENO2" "chromosome 8" "L000000560" "8" 451327 452640 "W" NA "2005-11-07" "1996-07-31" "Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication"
"1695" "S000001543" "ORF" "Verified" "YKL060C" "FBA1" "fructose-bisphosphate aldolase FBA1|LOT1" "chromosome 11" "L000000604" "11" 327487 326408 "C" NA "2011-02-03" "1996-07-31" "Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo"
"1471" "S000001635" "ORF" "Verified" "YKL152C" "GPM1" "phosphoglycerate mutase GPM1" "chromosome 11" "L000000726" "11" 164385 163642 "C" NA "2011-02-03" "1996-07-31" "Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis"
"13522" "S000001949" "ORF" "Verified" "YFR053C" "HXK1" "hexokinase 1" "chromosome 6" "L000000833" "6" 255049 253592 "C" 70 "2011-02-03" "1996-07-31" "Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication"
"10870" "S000002179" "ORF" "Verified" "YDL021W" "GPM2" "phosphoglycerate mutase family protein GPM2" "chromosome 4" "L000003294" "4" 413953 414888 "W" NA "2011-02-03" "1996-07-31" "Homolog of Gpm1p phosphoglycerate mutase; converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; may be non-functional; GPM2 has a paralog, GPM3, that arose from the whole genome duplication"
"11065" "S000002457" "ORF" "Verified" "YDR050C" "TPI1" "triose-phosphate isomerase TPI1" "chromosome 4" "L000002326" "4" 556472 555726 "C" NA "2011-02-03" "1996-07-31" "Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region; inhibition of Tpi1p activity by PEP (phosphoenolpyruvate) stimulates redox metabolism in respiring cells; E104D mutation in human homolog TPI1 causes a rare autosomal disease; human TPI1 can complement yeast null mutant"
"12240" "S000002924" "ORF" "Verified" "YDR516C" "EMI2" "putative glucokinase" "chromosome 4" "" "4" 1476476 1474974 "C" NA "2011-02-03" "1996-07-31" "Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog, GLK1, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
"13566" "S000003222" "ORF" "Verified" "YGL253W" "HXK2" "hexokinase 2|SCI2|HKB|HEX1" "chromosome 7" "L000000834" "7" 23935 25395 "W" -167 "1996-07-31" "1996-07-31" "Hexokinase isoenzyme 2; phosphorylates glucose in cytosol; predominant hexokinase during growth on glucose; represses expression of HXK1, GLK1, induces expression of its own gene; antiapoptotic; phosphorylation/dephosphorylation at Ser14 by kinase Snf1p, phosphatase Glc7p-Reg1p regulates nucleocytoplasmic shuttling of Hxk2p; functions downstream of Sit4p in control of cell cycle, mitochondrial function, oxidative stress resistance, chronological lifespan; has paralog HXK1"
