"sgdid" "type" "qual" "name" "gene" "alias" "parent" "sgdid2" "chrom" "start" "end" "strand" "genpos" "cver" "sver" "desc"
"514" "S000003676" "ORF" "Verified" "YJL140W" "RPB4" "DNA-directed RNA polymerase II subunit RPB4|B32|CTF15" "chromosome 10" "L000001678" "10" 150961 151626 "W" NA "2011-02-03" "1996-07-31" "RNA polymerase II subunit B32; forms dissociable heterodimer with Rpb7p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNAPII complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation"
"6289" "S000005365" "ORF" "Verified" "YOL005C" "RPB11" "DNA-directed RNA polymerase II core subunit RPB11|B12.5" "chromosome 15" "L000001685" "15" 316175 315813 "C" NA "2011-02-03" "1996-07-31" "RNA polymerase II subunit B12.5; part of central core; similar to Rpc19p and bacterial alpha subunit"
"11978" "S000002812" "ORF" "Verified" "YDR404C" "RPB7" "DNA-directed RNA polymerase II subunit RPB7|B16" "chromosome 4" "L000001681" "4" 1277169 1276654 "C" NA "2011-02-03" "1996-07-31" "RNA polymerase II subunit B16; forms dissociable heterodimer with Rpb4p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation"
"14025" "S000003038" "ORF" "Verified" "YGL070C" "RPB9" "DNA-directed RNA polymerase II core subunit RPB9|B12.6|SSU73|SHI" "chromosome 7" "L000001683|L000001880" "7" 374827 374459 "C" NA "2011-02-03" "1996-07-31" "RNA polymerase II subunit B12.6; contacts DNA; mutations affect transcription start site selection and fidelity of transcription"
"10575" "S000002299" "ORF" "Verified" "YDL140C" "RPO21" "DNA-directed RNA polymerase II core subunit RPO21|B220|SUA8|RPB220|RPB1" "chromosome 4" "L000001744" "4" 210561 205360 "C" -68 "2011-02-03" "1996-07-31" "RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime"
"8477" "S000006391" "ORF" "Verified" "YPR187W" "RPO26" "DNA-directed RNA polymerase core subunit RPO26|ABC23|RPB6" "chromosome 16" "L000001745" "16" 911257 911800 "W" NA "2011-02-03" "1996-07-31" "RNA polymerase subunit ABC23; common to RNA polymerases I, II, and III; part of central core; similar to bacterial omega subunit"
"15567" "S000001185" "ORF" "Verified" "YHR143W-A" "RPC10" "DNA-directed RNA polymerase core subunit RPC10|ABC10-alpha|RPB12" "chromosome 8" "L000001686" "8" 387233 387445 "W" NA "2011-02-03" "1996-07-31" "RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III; relocalizes from nucleolus to cytoplasm upon DNA replication stress"
"6852" "S000005750" "ORF" "Verified" "YOR224C" "RPB8" "DNA-directed RNA polymerase core subunit RPB8|ABC14.5" "chromosome 15" "L000001682" "15" 761265 760825 "C" NA "2011-02-03" "1996-07-31" "RNA polymerase subunit ABC14.5; common to RNA polymerases I, II, and III"
"6667" "S000005677" "ORF" "Verified" "YOR151C" "RPB2" "DNA-directed RNA polymerase II core subunit RPB2|B150|SOH2|SIT2|RPO22|RPB150" "chromosome 15" "L000001588|L000001676" "15" 616671 612997 "C" 80 "2011-02-03" "1996-07-31" "RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit"
"16199" "S000001283" "ORF" "Verified" "YIL021W" "RPB3" "DNA-directed RNA polymerase II core subunit RPB3|B44" "chromosome 9" "L000001677|L000001589" "9" 312905 313861 "W" -17 "2011-02-03" "1994-12-10" "RNA polymerase II third largest subunit B44; part of central core; similar to prokaryotic alpha subunit"
"12270" "S000002935" "ORF" "Verified" "YDR527W" "RBA50" "" "chromosome 4" "" "4" 1491094 1492413 "W" NA "2011-02-03" "1996-07-31|2011-02-03" "Protein involved in transcription; interacts with RNA polymerase II subunits Rpb2p, Rpb3, and Rpb11p; has similarity to human RPAP1"
"6788" "S000005720" "ORF" "Verified" "YOR194C" "TOA1" "transcription initiation factor IIA large subunit" "chromosome 15" "L000002316" "15" 712543 711683 "C" NA "2011-02-03" "1996-07-31" "TFIIA large subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; required, along with Toa2p, for ribosomal protein gene transcription in vivo; homologous to largest and second largest subunits of human and Drosophila TFIIA"
"1700" "S000001541" "ORF" "Verified" "YKL058W" "TOA2" "transcription initiation factor IIA subunit gamma" "chromosome 11" "L000002317" "11" 330166 330534 "W" NA "2011-02-03" "1996-07-31" "TFIIA small subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; required, along with Toa1p, for ribosomal protein gene transcription in vivo; homologous to smallest subunit of human and Drosophila TFIIA; protein abundance increases in response to DNA replication stress"
"8178" "S000006290" "ORF" "Verified" "YPR086W" "SUA7" "transcription factor TFIIB|TFIIB|SOH4" "chromosome 16" "L000002141" "16" 710101 711138 "W" NA "2011-02-03" "1996-07-31" "Transcription factor TFIIB; a general transcription factor required for transcription initiation and start site selection by RNA polymerase II"
"3381" "S000004391" "ORF" "Verified" "YLR399C" "BDF1" "chromatin-binding protein BDF1" "chromosome 12" "L000000165" "12" 921596 919536 "C" NA "2004-02-05" "1996-07-31" "Protein involved in transcription initiation; functions at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf2p; BDF1 has a paralog, BDF2, that arose from the whole genome duplication"
"3635" "S000004582" "ORF" "Verified" "YML114C" "TAF8" "TafII65|TAF65" "chromosome 13" "" "13" 43575 42043 "C" NA "1996-07-31" "1996-07-31" "TFIID subunit (65 kDa); involved in RNA polymerase II transcription initiation"
"3675" "S000004564" "ORF" "Verified" "YML098W" "TAF13" "TafII19|TAF19|FUN81" "chromosome 13" "L000000650" "13" 77267 77770 "W" -63 "1996-07-31" "1996-07-31" "TFIID subunit (19 kDa); involved in RNA polymerase II transcription initiation, similar to histone H4 with atypical histone fold motif of Spt3-like transcription factors"
"3912" "S000004477" "ORF" "Verified" "YML015C" "TAF11" "TafII40|TAF40" "chromosome 13" "L000003461" "13" 243029 241989 "C" NA "1996-07-31" "1996-07-31" "TFIID subunit (40 kDa); involved in RNA polymerase II transcription initiation, similar to histone H3 with atypical histone fold motif of Spt3-like transcription factors"
