"sgdid" "type" "qual" "name" "gene" "alias" "parent" "sgdid2" "chrom" "start" "end" "strand" "genpos" "cver" "sver" "desc"
"10702" "S000002246" "ORF" "Verified" "YDL088C" "ASM4" "FG-nucleoporin ASM4|NUP59" "chromosome 4" "L000002642" "4" 300003 298417 "C" NA "2004-02-11" "1996-07-31" "FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication"
"12025" "S000002832" "ORF" "Verified" "YDR424C" "DYN2" "dynein light chain|SLC1" "chromosome 4" "L000003064" "4" 1319841 1319387 "C" NA "2011-02-03" "1996-07-31" "Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments"
"10427" "S000002366" "ORF" "Verified" "YDL207W" "GLE1" "nucleoporin GLE1|NLE2|BRR3|RSS1" "chromosome 4" "L000003399|L000001255|S000029324" "4" 88248 89864 "W" NA "2011-02-03" "1996-07-31" "Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination"
"12882" "S000000909" "ORF" "Verified" "YER107C" "GLE2" "RNA export factor GLE2|RAE1" "chromosome 5" "L000004084" "5" 374545 373448 "C" NA "2011-02-03" "1996-07-31" "RNA export factor associated with the nuclear pore complex (NPC); associates with NUP116p; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p and human RAE1"
"2070" "S000001803" "ORF" "Verified" "YKR095W" "MLP1" "MPL1" "chromosome 11" "L000001141|L000001122" "11" 619805 625432 "W" 80.3 "2011-02-03" "1996-07-31" "Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog, MLP2, that arose from the whole genome duplication"
"15867" "S000001411" "ORF" "Verified" "YIL149C" "MLP2" "" "chromosome 9" "S000007510" "9" 68067 63028 "C" NA "1994-12-10" "1994-12-10" "Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved in the Tel1p pathway that controls telomere length; MLP2 has a paralog, MLP1, that arose from the whole genome duplication"
"3870" "S000004493" "ORF" "Verified" "YML031W" "NDC1" "" "chromosome 13" "L000001237" "13" 214189 216156 "W" -18 "1996-07-31" "1996-07-31" "Subunit of the transmembrane ring of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis and spindle pole body duplication; homologous to human NDC1"
"13357" "S000001898" "ORF" "Verified" "YFR002W" "NIC96" "linker nucleoporin NIC96" "chromosome 6" "L000001250" "6" 150016 152535 "W" NA "2011-02-03" "1996-07-31" "Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC nuclear basket; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup57p, and Nup49p)"
"767" "S000003577" "ORF" "Verified" "YJL041W" "NSP1" "FG-nucleoporin NSP1" "chromosome 10" "L000001277" "10" 365784 368373 "W" NA "2011-02-03" "1996-07-31" "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) nuclear basket; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier; found in stable complex with Nup82p, Gle2p and two other FG-nucleoporins (Nup159p and Nup116p); also found in stable complex with Nic96p and two other FG-nucleoproteins (Nup49p and Nup57p)"
"6540" "S000005624" "ORF" "Verified" "YOR098C" "NUP1" "FG-nucleoporin NUP1" "chromosome 15" "L000001288" "15" 511178 507948 "C" NA "2011-02-03" "1996-07-31" "FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of thenuclear pore complex (NPC) permeability barrier; possible karyopherin release factor that accelerates release of karyopherin-cargo complexes after transport across NPC; both NUP1 and NUP60 are homologous to human NUP153"
