"sgdid"	"type"	"qual"	"name"	"gene"	"alias"	"parent"	"sgdid2"	"chrom"	"start"	"end"	"strand"	"genpos"	"cver"	"sver"	"desc"
"1"	"S000000047"	"ORF"	"Verified"	"YAL049C"	"AIM2"	"protein AIM2"	"chromosome 1"	""	"1"	52595	51855	"C"	NA	"2011-02-03"	"1996-07-31"	"Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"
"2"	"S000000046"	"ORF"	"Verified"	"YAL048C"	"GEM1"	"ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1"	"chromosome 1"	""	"1"	54789	52801	"C"	NA	"2011-02-03"	"1996-07-31"	"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"
"3"	"S000000044"	"ORF"	"Verified"	"YAL046C"	"BOL3"	"AIM1"	"chromosome 1"	""	"1"	57385	57029	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"
"4"	"S000007586"	"ORF"	"Verified"	"YAL044W-A"	"BOL1"	""	"chromosome 1"	""	"1"	57518	57850	"W"	NA	"2011-02-03"	"2001-01-30"	"Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein"
"5"	"S000000042"	"ORF"	"Verified"	"YAL044C"	"GCV3"	"glycine decarboxylase subunit H"	"chromosome 1"	"L000003501"	"1"	58462	57950	"C"	NA	"2011-02-03"	"2003-09-22|1996-07-31|2008-03-05"	"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"6"	"S000000037"	"ORF"	"Verified"	"YAL039C"	"CYC3"	"holocytochrome c synthase CYC3|CCHL"	"chromosome 1"	"L000000450"	"1"	69525	68716	"C"	-47	"2011-02-03"	"1996-07-31"	"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"
"7"	"S000000013"	"ORF"	"Verified"	"YAL015C"	"NTG1"	"bifunctional N-glycosylase/AP lyase NTG1|ogg2|SCR1|FUN33"	"chromosome 1"	"L000004114"	"1"	128102	126903	"C"	NA	"2011-02-03"	"1996-07-31"	"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"
"8"	"S000000008"	"ORF"	"Verified"	"YAL010C"	"MDM10"	"FUN37"	"chromosome 1"	"L000000648|L000001053"	"1"	135665	134184	"C"	NA	"2011-02-03"	"1996-07-31|2011-02-03"	"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"
"9"	"S000000006"	"ORF"	"Verified"	"YAL008W"	"FUN14"	"MCP3"	"chromosome 1"	"L000000636"	"1"	136914	137510	"W"	NA	"2011-02-03"	"1996-07-31"	"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"
"10"	"S000000066"	"ORF"	"Verified"	"YAR008W"	"SEN34"	"tRNA splicing endonuclease subunit SEN34|FUN4"	"chromosome 1"	"L000003973"	"1"	158966	159793	"W"	NA	"2011-02-03"	"1996-07-31"	"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"
"11"	"S000000080"	"ORF"	"Verified"	"YAR035W"	"YAT1"	"carnitine O-acetyltransferase YAT1"	"chromosome 1"	"L000002497"	"1"	190193	192256	"W"	NA	"2011-02-03"	"1996-07-31"	"Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"
"12"	"S000028904"	"X_element_combinatorial_repeat"	""	""	""	""	"TEL10L"	""	"10"	7304	6932	"C"	NA	"2003-09-09"	"2003-09-09"	"Telomeric X element combinatorial repeat on the left arm of Chr X; contains a repeat of the D type with a group I mitochondrial bI4 intron insertion; formerly called SubTelomeric Repeats"
"13"	"S000003745"	"ORF"	"Verified"	"YJL209W"	"CBP1"	""	"chromosome 10"	"L000000224"	"10"	38005	39969	"W"	NA	"1996-07-31"	"1996-07-31"	"Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress"
"14"	"S000003744"	"ORF"	"Verified"	"YJL208C"	"NUC1"	"ribonuclease"	"chromosome 10"	"L000001283"	"10"	41183	40194	"C"	NA	"1996-07-31"	"1996-07-31"	"Major mitochondrial nuclease; has RNAse and DNA endo- and exonucleolytic activities; roles in mitochondrial recombination, apoptosis and maintenance of polyploidy; involved in fragmentation of genomic DNA during PND (programmed nuclear destruction); encodes ortholog of mammalian endoG"
"15"	"S000003736"	"ORF"	"Verified"	"YJL200C"	"ACO2"	"aconitate hydratase ACO2"	"chromosome 10"	""	"10"	58813	56444	"C"	NA	"1996-07-31"	"1996-07-31"	"Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol"
"16"	"S000003728"	"ORF"	"Verified"	"YJL192C"	"SOP4"	"EMC7"	"chromosome 10"	""	"10"	73414	72710	"C"	NA	"2011-02-03"	"1996-07-31"	"ER-membrane protein; subunit of evolutionarily conserved EMC (Endoplasmic Reticulum Membrane Complex) implicated in ERAD (ER-associated degradation) and proper assembly of multi-pass transmembrane (TM) proteins; EMC acts in yeast as an ER-mitochondria tether that interacts with outer membrane protein Tom5 of TOM (Translocase of the Mitochondrial Outer Membrane) complex; suppressor of pma1-7, deletion of SOP4 slows down export of wild-type Pma1p and Pma1-7 from the ER"
"17"	"S000003716"	"ORF"	"Verified"	"YJL180C"	"ATP12"	"ATP synthase complex assembly protein ATP12"	"chromosome 10"	"L000000149"	"10"	88560	87583	"C"	NA	"2011-02-03"	"1996-07-31"	"Assembly factor for F1 sector of mitochondrial F1F0 ATP synthase; conserved protein; required for assembly of alpha and beta subunits into F1 sector of mitochondrial F1F0 ATP synthase; human homolog ATPAF2 can complement yeast atp12 mutant; mutation of human homolog reduces active ATP synthase levels and is associated with the disorder ATPAF2 deficiency"
"18"	"S000003702"	"ORF"	"Verified"	"YJL166W"	"QCR8"	"ubiquinol--cytochrome-c reductase subunit 8|COR5"	"chromosome 10"	"L000001548"	"10"	106434	106718	"W"	NA	"2011-02-03"	"1996-07-31"	"Subunit 8 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; oriented facing the intermembrane space; expression is regulated by Abf1p and Cpf1p"
