"sgdid" "type" "qual" "name" "gene" "alias" "parent" "sgdid2" "chrom" "start" "end" "strand" "genpos" "cver" "sver" "desc"
"10768" "S000002222" "ORF" "Verified" "YDL064W" "UBC9" "E2 SUMO-conjugating protein UBC9" "chromosome 4" "L000002636" "4" 337487 338070 "W" NA "2004-02-11" "1996-07-31" "SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)"
"12226" "S000002918" "ORF" "Verified" "YDR510W" "SMT3" "SUMO family protein SMT3" "chromosome 4" "L000001938" "4" 1469400 1469705 "W" NA "2011-02-03" "1996-07-31" "Ubiquitin-like protein of the SUMO family; conjugated to lysine residues of target proteins; associates with transcriptionally active genes; regulates chromatid cohesion, chromosome segregation, APC-mediated proteolysis, DNA replication and septin ring dynamics; human homolog SUMO1 can complement yeast null mutant"
"11945" "S000002798" "ORF" "Verified" "YDR390C" "UBA2" "E1 ubiquitin-activating protein UBA2|UAL1" "chromosome 4" "L000002404" "4" 1256847 1254937 "C" NA "2011-02-03" "1996-07-31" "Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability"
"11991" "S000002817" "ORF" "Verified" "YDR409W" "SIZ1" "SUMO ligase SIZ1|ULL1" "chromosome 4" "S000007589" "4" 1289406 1292120 "W" NA "2011-02-03" "1996-07-31" "SUMO E3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to primarily cytoplasmic proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; required for sumoylation of septins and histone H3 variant Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; localizes to the septin ring; acts as an adapter between E2, Ubc9p and substrates; tends to compensate for survival of DNA damage in absence of Nfi1p"
"16172" "S000001293" "ORF" "Verified" "YIL031W" "ULP2" "SUMO protease ULP2|SMT4" "chromosome 9" "L000001939" "9" 292633 295737 "W" NA "2011-02-03" "1994-12-10" "Peptidase that deconjugates Smt3/SUMO-1 peptides from proteins; plays a role in chromosome cohesion at centromeric regions and recovery from checkpoint arrest induced by DNA damage or DNA replication defects; potential Cdc28p substrate; human homolog PML implicated in promyelocytic leukemia can partially complement yeast null mutant"
"12490" "S000000745" "ORF" "Verified" "YEL019C" "MMS21" "SUMO ligase MMS21|PSO10|NSE2" "chromosome 5" "L000001125" "5" 121301 120498 "C" NA "1996-07-31" "1996-07-31" "Highly conserved SUMO E3 ligase subunit of SMC5-SMC6 complex; required for anchoring dsDNA breaks to the nuclear periphery; SMC5-SMC6 plays a key role in removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; required for efficient sister chromatid cohesion; mutants are sensitive to MMS, show increased spontaneous mutation and mitotic recombination; SUMOylates and inhibits Snf1p function; supports nucleolar function"
"6677" "S000005682" "ORF" "Verified" "YOR156C" "NFI1" "SUMO ligase NFI1|SIZ2" "chromosome 15" "L000002966" "15" 630540 628360 "C" NA "2011-02-03" "1996-07-31" "SUMO E3 ligase; catalyzes sumoylation of Yku70p/80p and Sir4p promoting telomere anchoring to the nuclear envelope and regulating telomerase activity; DNA-bound form catalyzes a DNA-damaged triggered sumoylation wave resulting in multisite modification of several DNA repair proteins, enhancing interactions between these proteins and accelerating repair; sumoylates Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; role in telomere length maintenance"
"3368" "S000004386" "ORF" "Verified" "YLR394W" "CST9" "SUMO ligase CST9|ZIP3" "chromosome 12" "L000002996" "12" 907950 909398 "W" NA "2004-02-05" "1996-07-31" "SUMO E3 ligase; required for synaptonemal complex formation; localizes to synapsis initiation sites on meiotic chromosomes; associates with centromeres early in meiosis, then with chromosome axes and finally with double-strand break sites that are engaged in repair by crossovers; potential Cdc28p substrate"
"8463" "S000006384" "ORF" "Verified" "YPR180W" "AOS1" "E1 ubiquitin-activating protein AOS1|RHC31" "chromosome 16" "L000004031" "16" 895961 897004 "W" NA "2011-02-03" "1996-07-31" "Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Uba2p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability; relocalizes to the cytosol in response to hypoxia"
"5457" "S000005021" "ORF" "Verified" "YNL077W" "APJ1" "" "chromosome 14" "" "14" 481391 482977 "W" NA "2011-02-03" "1996-07-31" "Chaperone with a role in SUMO-mediated protein degradation; member of the DnaJ-like family; conserved across eukaryotes; overexpression interferes with propagation of the [Psi+] prion; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; forms nuclear foci upon DNA replication stress"
"15539" "S000001176" "ORF" "Verified" "YHR134W" "WSS1" "metalloendopeptidase WSS1" "chromosome 8" "" "8" 371749 372558 "W" NA "2011-02-03" "1996-07-31" "SUMO-ligase and SUMO-targeted metalloprotease; involved in DNA repair; removes DNA-protein crosslinks at stalled replication forks during replication of damaged DNA; clears chromatin-bound sumoylated proteins; localizes to single spot on nuclear periphery of mother cells but not daughters; exhibits vacuolar localization upon genotoxic stress; activated by DNA binding; member of minigluzincins protease family with mammalian DVC1/Spartan"
